path,times_optimized,avg_percent_optimized,avg_optimized_throughput_kb/s
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> AWS_EU_CENTRAL_1_FRANKFURT,377,22.40327673777186,150.18358820942194
AWS_US_WEST_1_CALIFORNIA -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,377,12.31319128501326,102.54552969904432
GCP_EUROPE_NORTH_1 -> AZURE_US_EAST -> AWS_US_WEST_1_CALIFORNIA,368,1.002460694229591,7.833373790499877
GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,367,1.1072582571085015,5.48972149034546
AZURE_SOUTH_AFRICA_NORTH -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,359,2.4041739318661386,12.364951804270845
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_ASIA_EAST_1,357,21.35606699910835,91.52581322707437
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL,357,9.7022082362437,322.24063072040417
GCP_US_CENTRAL_1 -> GCP_US_SOUTH_1 -> AZURE_JAPAN_EAST,355,0.8924582056240188,7.9029914475021315
AWS_US_WEST_2_OREGON -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM,354,33.55012484161697,186.09771208552058
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_JAPAN_EAST,353,22.074617778059977,97.44671471614623
AWS_US_WEST_2_OREGON -> GCP_US_CENTRAL_1 -> AZURE_SOUTH_AFRICA_NORTH,350,29.03862230548237,91.23207869776144
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> GCP_EUROPE_NORTH_1,348,22.808132552882647,138.0669775629733
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_CENTRAL_1_FRANKFURT,342,16.815985555957482,113.89299561680878
GCP_EUROPE_NORTH_1 -> AWS_EU_NORTH_1_STOCKHOLM -> AWS_US_WEST_2_OREGON,325,7.360661273549159,54.02387222765378
AWS_US_EAST_2_OHIO -> GCP_US_CENTRAL_1 -> GCP_US_SOUTH_1,322,19.265920326983384,446.31818993800516
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> AWS_SA_EAST_1_SAO_PAULO,319,18.587561430828746,110.5632734452422
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_AUSTRALIA_SOUTHEAST_1,315,13.476506856740201,53.170792344621134
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,314,21.38441087921568,149.04242815952057
AZURE_SOUTH_AFRICA_NORTH -> AZURE_FRANCE_CENTRAL -> AWS_EU_NORTH_1_STOCKHOLM,313,2.0103014023379413,13.243409583547646
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_SOUTH_1,300,0.5412048705707381,4.801213233333897
AWS_US_EAST_2_OHIO -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,297,23.38743800844823,236.56922295208665
AWS_US_WEST_2_OREGON -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL,291,25.0903804265448,161.6558000635306
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_SOUTH_AFRICA_NORTH,290,15.551848459625361,87.20942150020505
AWS_US_WEST_2_OREGON -> GCP_US_CENTRAL_1 -> AWS_EU_NORTH_1_STOCKHOLM,290,31.368253191388128,167.91036536290494
AWS_US_WEST_2_OREGON -> GCP_US_SOUTH_1 -> AWS_SA_EAST_1_SAO_PAULO,290,19.098655945154416,106.02573396548269
AZURE_JAPAN_EAST -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,289,5.2949734507585635,39.412153127297415
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> AWS_EU_NORTH_1_STOCKHOLM,288,39.16225831162257,210.48616841315663
AWS_US_WEST_2_OREGON -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,284,20.74613219525868,134.1142969146307
AZURE_JAPAN_EAST -> AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO,282,6.5353383714432,49.86784539429789
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_US_EAST -> GCP_US_CENTRAL_1,281,22.87437625609235,202.0070759215654
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_FRANCE_CENTRAL,279,30.374628702804312,197.37196070191965
